NIS;Categoria;Consumo;Mes
0006-0561;BT RESIDENCIAL;128;Abril
0006-0562;BT GENERAL;30;Abril
0006-0570;BT RESIDENCIAL;556;Abril
0006-0601;BT GENERAL;156;Abril
0006-0604;BT RESIDENCIAL;543;Abril
0006-0607;BT RESIDENCIAL;30;Abril
0006-0608;BT RESIDENCIAL;544;Abril
0020-0151;BT GENERAL;4330;Abril
0020-0166;BT RESIDENCIAL;899;Abril
0020-0308;BT RESIDENCIAL;1410;Abril
0020-0320;BT RESIDENCIAL;1668;Abril
0020-0324;BT GENERAL;1093;Abril
0020-0510;BT RESIDENCIAL;691;Abril
0020-0513;BT RESIDENCIAL;412;Abril
0020-0520;BT RESIDENCIAL;1598;Abril
0020-0523;BT RESIDENCIAL;2189;Abril
0020-0524;BT RESIDENCIAL;848;Abril
0020-0525;BT RESIDENCIAL;607;Abril
0020-0805;BT GENERAL;1704;Abril
0020-0806;BT RESIDENCIAL;1419;Abril
0020-0936;BT RESIDENCIAL;120;Abril
0020-0937;BT RESIDENCIAL;1425;Abril
0022-0901;MT INDUSTRIAL;2066;Abril
0024-0112;BT RESIDENCIAL;923;Abril
0024-0415;BT RESIDENCIAL;723;Abril
0024-0450;BT RESIDENCIAL;1156;Abril
0024-0452;BT RESIDENCIAL;525;Abril
0024-0711;BT RESIDENCIAL;650;Abril
0028-0290;MT GENERAL;230;Abril
0028-0300;MT GENERAL;2066;Abril
0028-0305;MT GENERAL;230;Abril
0040-0430;MT GENERAL;675;Abril
0048-0049;MT GENERAL;459;Abril
0048-0050;MT GENERAL;230;Abril
0049-0603;MT GENERAL;689;Abril
0050-0462;MT GENERAL;2674;Abril
0050-0463;MT GENERAL;4991;Abril
0050-0464;MT GENERAL;2938;Abril
0050-0466;MT GENERAL;230;Abril
0050-0467;MT GENERAL;321;Abril
0050-0468;MT GENERAL;2732;Abril
0050-0469;MT GENERAL;1577;Abril
0051-0150;MT GENERAL;459;Abril
0052-0341;MT GENERAL;459;Abril
0052-0656;BT RESIDENCIAL;30;Abril
0052-0658;BT GENERAL;30;Abril
0053-0512;MT GENERAL;1148;Abril
0053-0513;MT GENERAL;1148;Abril
0053-0514;MT GENERAL;689;Abril
0053-0526;MT GENERAL;689;Abril
0053-0690;MT GENERAL;5049;Abril
0054-0330;MT GENERAL;230;Abril
0054-0331;MT GENERAL;230;Abril
0055-0005;BT SOCIAL;15;Abril
0055-0010;BT SOCIAL;15;Abril
0055-0015;BT SOCIAL;15;Abril
0055-0020;BT SOCIAL;15;Abril
0055-0025;BT SOCIAL;15;Abril
0055-0030;BT SOCIAL;15;Abril
0055-0035;BT SOCIAL;15;Abril
0055-0040;BT SOCIAL;15;Abril
0055-0045;BT SOCIAL;15;Abril
0055-0050;BT SOCIAL;15;Abril
0055-0055;BT SOCIAL;15;Abril
0055-0060;BT SOCIAL;15;Abril
0055-0065;BT SOCIAL;15;Abril
0055-0070;BT SOCIAL;15;Abril
0055-0075;BT SOCIAL;15;Abril
0055-0080;BT SOCIAL;15;Abril
0082-0674;BT RESIDENCIAL;409;Abril
0082-0684;BT RESIDENCIAL;723;Abril
0083-0050;BT GENERAL;402;Abril
0083-0054;BT SOCIAL;172;Abril
0083-0059;BT RESIDENCIAL;751;Abril
0083-0062;BT RESIDENCIAL;926;Abril
0083-0076;BT SOCIAL;344;Abril
0083-0078;BT RESIDENCIAL;30;Abril
0083-0086;BT RESIDENCIAL;549;Abril
0083-0090;BT RESIDENCIAL;47;Abril
0083-0096;BT RESIDENCIAL;85;Abril
0083-0098;BT RESIDENCIAL;531;Abril
0083-0114;BT SOCIAL;371;Abril
0083-0115;BT RESIDENCIAL;369;Abril
0083-0119;BT SOCIAL;15;Abril
0083-0125;BT SOCIAL;600;Abril
0083-0127;BT SOCIAL;78;Abril
0083-0128;BT RESIDENCIAL;819;Abril
0083-0151;BT RESIDENCIAL;447;Abril
0083-0154;BT SOCIAL;623;Abril
0083-0161;BT RESIDENCIAL;743;Abril
0083-0162;BT SOCIAL;81;Abril
0083-0167;BT RESIDENCIAL;588;Abril
0083-0168;BT RESIDENCIAL;775;Abril
0083-0183;BT GENERAL;1948;Abril
0083-0190;BT SOCIAL;368;Abril
0083-0192;BT RESIDENCIAL;578;Abril
0083-0194;BT RESIDENCIAL;604;Abril
0083-0218;BT SOCIAL;106;Abril
0900-0513;BT RESIDENCIAL;101;Abril
0900-0514;BT SOCIAL;195;Abril
0490-0055;BT RESIDENCIAL;1141;Abril
0530-0370;BT RESIDENCIAL;985;Abril
0540-0020;BT RESIDENCIAL;1014;Abril
0599-0040;BT RESIDENCIAL;1313;Abril
0599-0130;BT RESIDENCIAL;1473;Abril
0600-0505;BT RESIDENCIAL;1047;Abril
0600-0572;BT RESIDENCIAL;649;Abril
0601-0085;BT RESIDENCIAL;838;Abril
0601-0406;BT RESIDENCIAL;120;Abril
0601-0414;BT RESIDENCIAL;517;Abril
0601-0430;BT RESIDENCIAL;918;Abril
0601-0444;BT RESIDENCIAL;798;Abril
0601-0826;BT RESIDENCIAL;683;Abril
0602-0348;BT RESIDENCIAL;1072;Abril
0602-0360;BT RESIDENCIAL;721;Abril
0604-0162;BT RESIDENCIAL;424;Abril
0604-0174;BT RESIDENCIAL;120;Abril
0604-0250;BT RESIDENCIAL;478;Abril
0606-0115;BT RESIDENCIAL;1345;Abril
0606-0130;BT RESIDENCIAL;516;Abril
0607-0199;BT RESIDENCIAL;1429;Abril
0610-0110;BT RESIDENCIAL;1944;Abril
0610-0190;BT RESIDENCIAL;2344;Abril
0700-0271;BT RESIDENCIAL;1149;Abril
0700-0290;BT RESIDENCIAL;882;Abril
0759-0013;BT RESIDENCIAL;1373;Abril
0900-0004;BT RESIDENCIAL;918;Abril
0900-0007;BT SOCIAL;95;Abril
0006-0620;BT RESIDENCIAL;142;Abril
0006-0621;BT RESIDENCIAL;240;Abril
0014-0090;BT RESIDENCIAL;1360;Abril
0014-0100;BT RESIDENCIAL;2102;Abril
0014-0110;BT RESIDENCIAL;2396;Abril
0014-0120;BT RESIDENCIAL;1279;Abril
0014-0125;BT RESIDENCIAL;2329;Abril
0014-0130;BT RESIDENCIAL;941;Abril
0014-0140;BT GENERAL;30;Abril
0014-0150;BT RESIDENCIAL;803;Abril
0014-0160;BT RESIDENCIAL;1855;Abril
0014-0170;BT RESIDENCIAL;1902;Abril
0014-0200;BT RESIDENCIAL;2096;Abril
0014-0210;BT RESIDENCIAL;1752;Abril
0014-0230;BT RESIDENCIAL;685;Abril
0015-0010;BT RESIDENCIAL;862;Abril
0015-0020;BT RESIDENCIAL;1700;Abril
0015-0033;BT SOCIAL;62;Abril
0015-0040;BT RESIDENCIAL;1864;Abril
0015-0050;BT RESIDENCIAL;837;Abril
0016-0020;BT RESIDENCIAL;807;Abril
0016-0030;BT RESIDENCIAL;403;Abril
0016-0040;BT RESIDENCIAL;378;Abril
0016-0050;BT RESIDENCIAL;1536;Abril
0016-0070;BT RESIDENCIAL;3628;Abril
0018-0007;BT RESIDENCIAL;934;Abril
0055-0085;BT SOCIAL;15;Abril
0055-0090;BT SOCIAL;15;Abril
0055-0095;BT SOCIAL;15;Abril
0055-0100;BT SOCIAL;15;Abril
0055-0105;BT SOCIAL;15;Abril
0055-0110;BT SOCIAL;15;Abril
0055-0115;BT SOCIAL;15;Abril
0055-0120;BT SOCIAL;15;Abril
0055-0125;BT SOCIAL;15;Abril
0055-0130;BT SOCIAL;15;Abril
0055-0135;BT SOCIAL;15;Abril
0055-0140;BT SOCIAL;15;Abril
0055-0145;BT SOCIAL;15;Abril
0055-0150;BT SOCIAL;15;Abril
0055-0155;BT SOCIAL;15;Abril
0055-0200;BT SOCIAL;15;Abril
0055-0205;BT SOCIAL;15;Abril
0055-0210;BT SOCIAL;15;Abril
0055-0215;BT SOCIAL;15;Abril
0055-0220;BT SOCIAL;15;Abril
0055-0225;BT SOCIAL;15;Abril
0055-0230;BT SOCIAL;15;Abril
0055-0235;BT SOCIAL;15;Abril
0055-0240;BT SOCIAL;15;Abril
0055-0245;BT SOCIAL;15;Abril
0055-0250;BT SOCIAL;15;Abril
0055-0255;BT SOCIAL;15;Abril
0055-0260;BT SOCIAL;15;Abril
0061-0840;MT GUBERNAMENTAL;683;Abril
0064-0690;MT GENERAL;1125;Abril
0065-0800;MT GENERAL;1552;Abril
0068-0350;MT GENERAL;2163;Abril
0068-0390;MT GENERAL;2236;Abril
0068-0400;MT GENERAL;2992;Abril
0068-0450;MT GENERAL;3603;Abril
0068-0460;MT GENERAL;1883;Abril
0068-0500;MT GENERAL;2170;Abril
0068-0510;MT GENERAL;1292;Abril
0068-0550;MT GENERAL;357;Abril
0068-0560;MT GENERAL;721;Abril
0068-0595;MT GENERAL;824;Abril
0068-0598;MT GENERAL;239;Abril
0068-0600;MT GENERAL;3612;Abril
0068-0800;MT GENERAL;3473;Abril
0068-0803;MT GENERAL;3473;Abril
0083-0220;BT SOCIAL;20;Abril
0083-0255;BT RESIDENCIAL;375;Abril
0083-0262;BT RESIDENCIAL;30;Abril
0083-0267;BT RESIDENCIAL;354;Abril
0083-0307;BT SOCIAL;117;Abril
0083-0310;BT SOCIAL;338;Abril
0083-0354;BT RESIDENCIAL;271;Abril
0083-0355;BT RESIDENCIAL;278;Abril
0083-0359;BT SOCIAL;149;Abril
0083-0361;BT RESIDENCIAL;42;Abril
0083-0365;BT SOCIAL;253;Abril
0083-0366;BT SOCIAL;98;Abril
0083-0371;BT SOCIAL;69;Abril
0083-0411;BT RESIDENCIAL;265;Abril
0083-0412;BT RESIDENCIAL;143;Abril
0083-0415;BT SOCIAL;38;Abril
0083-0430;BT RESIDENCIAL;38;Abril
0083-0431;BT SOCIAL;205;Abril
0083-0436;BT RESIDENCIAL;160;Abril
0083-0437;BT RESIDENCIAL;143;Abril
0083-0439;BT SOCIAL;236;Abril
0083-0442;BT RESIDENCIAL;159;Abril
0083-0443;BT SOCIAL;142;Abril
0083-0450;BT SOCIAL;220;Abril
0083-0453;BT RESIDENCIAL;197;Abril
0083-0455;BT RESIDENCIAL;95;Abril
0083-0469;BT RESIDENCIAL;30;Abril
0083-0506;BT RESIDENCIAL;333;Abril
0083-0507;BT SOCIAL;45;Abril
0083-0512;BT RESIDENCIAL;288;Abril
0900-0015;BT SOCIAL;199;Abril
0900-0016;BT SOCIAL;216;Abril
0900-0030;BT SOCIAL;100;Abril
0900-0035;BT SOCIAL;121;Abril
0900-0050;BT SOCIAL;263;Abril
0900-0070;BT SOCIAL;81;Abril
0001-0005;BT RESIDENCIAL;2088;Abril
0001-0006;BT RESIDENCIAL;1180;Abril
0001-0007;BT RESIDENCIAL;760;Abril
0001-0008;MT GENERAL;2610;Abril
0001-0010;BT RESIDENCIAL;260;Abril
0001-0012;BT RESIDENCIAL;800;Abril
0001-0020;BT RESIDENCIAL;1507;Abril
0001-0030;BT RESIDENCIAL;1750;Abril
0001-0040;BT RESIDENCIAL;520;Abril
0001-0050;MT GENERAL;1148;Abril
0001-0060;BT RESIDENCIAL;1281;Abril
0001-0070;BT RESIDENCIAL;1120;Abril
0001-0080;BT RESIDENCIAL;1607;Abril
0001-0090;BT RESIDENCIAL;468;Abril
0001-0108;BT RESIDENCIAL;268;Abril
0001-0113;BT RESIDENCIAL;716;Abril
0001-0115;MT GENERAL;885;Abril
0001-0120;BT RESIDENCIAL;2578;Abril
0001-0130;BT RESIDENCIAL;405;Abril
0001-0141;BT RESIDENCIAL;30;Abril
0001-0150;BT RESIDENCIAL;1015;Abril
0001-0160;BT RESIDENCIAL;1164;Abril
0001-0180;BT RESIDENCIAL;1682;Abril
0900-0080;BT RESIDENCIAL;1345;Abril
0900-0081;BT SOCIAL;253;Abril
0001-0225;MT GENERAL;2249;Abril
0001-0240;BT RESIDENCIAL;1267;Abril
0001-0260;BT RESIDENCIAL;456;Abril
0008-0042;BT RESIDENCIAL;1290;Abril
0008-0045;BT RESIDENCIAL;7192;Abril
0008-0070;MT GENERAL;4865;Abril
0008-0075;MT GENERAL;450;Abril
0009-0003;MT GENERAL;1954;Abril
0009-0005;BT RESIDENCIAL;2411;Abril
0009-0007;BT RESIDENCIAL;126;Abril
0009-0030;BT RESIDENCIAL;1692;Abril
0009-0040;MT GENERAL;675;Abril
0009-0050;BT SOCIAL;97;Abril
0009-0070;BT GENERAL;30;Abril
0009-0080;BT RESIDENCIAL;812;Abril
0009-0090;BT GENERAL;421;Abril
0009-0100;BT RESIDENCIAL;730;Abril
0009-0110;BT RESIDENCIAL;3409;Abril
0009-0130;BT RESIDENCIAL;1253;Abril
0009-0150;BT RESIDENCIAL;1358;Abril
0009-0155;MT GENERAL;1106;Abril
0009-0170;BT RESIDENCIAL;786;Abril
0009-0180;BT RESIDENCIAL;866;Abril
0010-0010;BT RESIDENCIAL;444;Abril
0010-0031;BT RESIDENCIAL;600;Abril
0010-0040;BT RESIDENCIAL;556;Abril
0010-0060;BT RESIDENCIAL;686;Abril
0010-0090;BT SOCIAL;87;Abril
0010-0100;BT RESIDENCIAL;718;Abril
0010-0105;BT RESIDENCIAL;847;Abril
0010-0110;BT RESIDENCIAL;461;Abril
0010-0120;MT GENERAL;230;Abril
0011-0010;BT RESIDENCIAL;423;Abril
0011-0020;BT RESIDENCIAL;375;Abril
0011-0030;BT RESIDENCIAL;1410;Abril
0011-0040;BT RESIDENCIAL;1005;Abril
0011-0060;BT RESIDENCIAL;1786;Abril
0011-0065;BT RESIDENCIAL;120;Abril
0011-0070;BT RESIDENCIAL;1063;Abril
0012-0010;BT RESIDENCIAL;798;Abril
0012-0020;BT RESIDENCIAL;836;Abril
0012-0040;BT RESIDENCIAL;741;Abril
0012-0050;MT GENERAL;1221;Abril
0012-0070;BT RESIDENCIAL;522;Abril
0012-0075;BT RESIDENCIAL;619;Abril
0012-0090;MT GENERAL;1980;Abril
0012-0100;BT SOCIAL;15;Abril
0012-0110;BT RESIDENCIAL;1536;Abril
0012-0140;BT RESIDENCIAL;1226;Abril
0012-0141;BT RESIDENCIAL;1253;Abril
0012-0160;BT RESIDENCIAL;134;Abril
0012-0161;BT RESIDENCIAL;690;Abril
0012-0170;BT RESIDENCIAL;1668;Abril
0068-0804;BT RESIDENCIAL;545;Abril
0068-0805;MT GENERAL;1918;Abril
0068-0935;BT RESIDENCIAL;223;Abril
0068-0955;BT RESIDENCIAL;965;Abril
0069-0050;MT GENERAL;1987;Abril
0069-0052;MT GENERAL;517;Abril
0069-0060;MT GENERAL;3152;Abril
0069-0065;MT GENERAL;975;Abril
0081-0050;BT RESIDENCIAL;354;Abril
0081-0290;BT RESIDENCIAL;30;Abril
0081-0300;BT RESIDENCIAL;190;Abril
0081-0380;BT RESIDENCIAL;188;Abril
0081-0420;BT RESIDENCIAL;198;Abril
0081-0421;BT RESIDENCIAL;438;Abril
0081-0500;BT RESIDENCIAL;390;Abril
0082-0203;BT RESIDENCIAL;670;Abril
0082-0209;BT RESIDENCIAL;410;Abril
0082-0210;BT RESIDENCIAL;150;Abril
0082-0216;BT RESIDENCIAL;299;Abril
0082-0221;BT RESIDENCIAL;416;Abril
0082-0241;BT RESIDENCIAL;210;Abril
0082-0253;BT RESIDENCIAL;129;Abril
0082-0254;BT RESIDENCIAL;30;Abril
0082-0260;BT RESIDENCIAL;231;Abril
0082-0261;BT RESIDENCIAL;109;Abril
0082-0270;BT RESIDENCIAL;81;Abril
0082-0273;BT RESIDENCIAL;493;Abril
0082-0275;BT RESIDENCIAL;172;Abril
0082-0310;BT RESIDENCIAL;624;Abril
0082-0326;BT RESIDENCIAL;422;Abril
0082-0342;BT RESIDENCIAL;30;Abril
0082-0501;BT RESIDENCIAL;244;Abril
0082-0505;BT RESIDENCIAL;389;Abril
0082-0513;MT GENERAL;225;Abril
0082-0514;BT RESIDENCIAL;771;Abril
0082-0526;BT RESIDENCIAL;30;Abril
0082-0531;BT RESIDENCIAL;44;Abril
0082-0532;BT RESIDENCIAL;190;Abril
0082-0536;BT RESIDENCIAL;384;Abril
0082-0544;BT RESIDENCIAL;417;Abril
0082-0547;BT RESIDENCIAL;240;Abril
0082-0652;BT RESIDENCIAL;698;Abril
0082-0654;BT RESIDENCIAL;38;Abril
0082-0658;BT RESIDENCIAL;534;Abril
0082-0662;BT RESIDENCIAL;574;Abril
0082-0676;BT RESIDENCIAL;333;Abril
0082-0682;BT RESIDENCIAL;866;Abril
0082-0710;BT RESIDENCIAL;1012;Abril
0083-0513;BT RESIDENCIAL;376;Abril
0083-0527;BT SOCIAL;129;Abril
0083-0528;BT SOCIAL;234;Abril
0083-0530;BT RESIDENCIAL;171;Abril
0083-0536;BT SOCIAL;154;Abril
0083-0538;BT SOCIAL;84;Abril
0083-0540;BT RESIDENCIAL;284;Abril
0083-0541;BT RESIDENCIAL;209;Abril
0083-0616;BT SOCIAL;93;Abril
0083-0617;BT RESIDENCIAL;170;Abril
0083-0642;BT RESIDENCIAL;78;Abril
0083-0645;MT GENERAL;245;Abril
0083-0649;BT SOCIAL;222;Abril
0083-0650;BT SOCIAL;305;Abril
0083-0654;BT RESIDENCIAL;236;Abril
0083-0661;MT GENERAL;246;Abril
0083-0665;BT SOCIAL;15;Abril
0083-0677;BT RESIDENCIAL;284;Abril
0083-0679;BT SOCIAL;137;Abril
0083-0731;BT SOCIAL;39;Abril
0083-0733;BT SOCIAL;97;Abril
0083-0734;BT RESIDENCIAL;234;Abril
0083-0737;BT SOCIAL;182;Abril
0083-0738;BT SOCIAL;190;Abril
0083-0746;BT SOCIAL;123;Abril
0083-0810;BT SOCIAL;35;Abril
0083-0811;BT RESIDENCIAL;109;Abril
0083-0813;BT SOCIAL;189;Abril
0083-0815;BT RESIDENCIAL;119;Abril
0427-0130;BT RESIDENCIAL;629;Abril
0001-0270;BT RESIDENCIAL;120;Abril
0001-0275;BT RESIDENCIAL;2485;Abril
0900-0091;BT SOCIAL;140;Abril
0001-0280;BT RESIDENCIAL;1679;Abril
0900-0092;BT RESIDENCIAL;214;Abril
0001-0300;BT INDUSTRIAL;4054;Abril
0900-0093;BT RESIDENCIAL;405;Abril
0001-0306;BT INDUSTRIAL;533;Abril
0001-0311;BT GENERAL;958;Abril
0001-0312;BT RESIDENCIAL;1227;Abril
0001-0313;BT RESIDENCIAL;866;Abril
0001-0317;BT RESIDENCIAL;476;Abril
0001-0321;BT RESIDENCIAL;779;Abril
0001-0322;BT RESIDENCIAL;1302;Abril
0001-0323;BT RESIDENCIAL;30;Abril
0001-0325;BT RESIDENCIAL;1325;Abril
0001-0328;BT RESIDENCIAL;60;Abril
0001-0331;BT RESIDENCIAL;684;Abril
0001-0332;BT RESIDENCIAL;540;Abril
0001-0334;BT RESIDENCIAL;120;Abril
0001-0336;BT RESIDENCIAL;1489;Abril
0001-0338;BT RESIDENCIAL;710;Abril
0001-0342;BT RESIDENCIAL;1207;Abril
0001-0343;BT RESIDENCIAL;789;Abril
0001-0350;BT RESIDENCIAL;434;Abril
0900-0229;BT SOCIAL;31;Abril
0001-0358;BT RESIDENCIAL;915;Abril
0001-0359;BT RESIDENCIAL;442;Abril
0900-0230;BT SOCIAL;223;Abril
0001-0367;BT RESIDENCIAL;305;Abril
0001-0369;BT RESIDENCIAL;448;Abril
0001-0375;BT RESIDENCIAL;981;Abril
0001-0528;MT GUBERNAMENTAL;2066;Abril
0001-0530;MT GENERAL;5674;Abril
0900-0251;BT SOCIAL;117;Abril
0002-0006;BT RESIDENCIAL;30;Abril
0900-0252;BT SOCIAL;868;Abril
0002-0008;BT RESIDENCIAL;702;Abril
0002-0009;BT RESIDENCIAL;1585;Abril
0013-0004;MT GENERAL;230;Abril
0013-0005;BT RESIDENCIAL;1973;Abril
0013-0030;BT RESIDENCIAL;531;Abril
0014-0005;BT SOCIAL;15;Abril
0014-0010;BT RESIDENCIAL;2041;Abril
0014-0040;BT RESIDENCIAL;3529;Abril
0014-0061;MT GENERAL;161;Abril
0014-0080;BT RESIDENCIAL;2571;Abril
0014-0081;MT GENERAL;161;Abril
0014-0085;BT RESIDENCIAL;639;Abril
0018-0109;BT RESIDENCIAL;425;Abril
0018-0110;BT RESIDENCIAL;713;Abril
0018-0111;BT RESIDENCIAL;806;Abril
0018-0112;BT RESIDENCIAL;60;Abril
0018-0113;BT RESIDENCIAL;120;Abril
0018-0117;BT RESIDENCIAL;1522;Abril
0018-0118;BT RESIDENCIAL;2344;Abril
0018-0157;BT RESIDENCIAL;972;Abril
0018-0188;BT INDUSTRIAL;356;Abril
0018-0206;BT RESIDENCIAL;951;Abril
0018-0216;BT RESIDENCIAL;641;Abril
0018-0223;MT INDUSTRIAL;2835;Abril
0018-0224;BT GENERAL;120;Abril
0018-0235;BT RESIDENCIAL;519;Abril
0018-0243;MT GENERAL;463;Abril
0018-0307;BT RESIDENCIAL;1024;Abril
0018-0308;BT RESIDENCIAL;120;Abril
0018-0310;BT RESIDENCIAL;826;Abril
0018-0317;BT RESIDENCIAL;569;Abril
0018-0320;BT RESIDENCIAL;544;Abril
0018-0330;BT RESIDENCIAL;376;Abril
0018-0339;BT RESIDENCIAL;573;Abril
0018-0420;BT RESIDENCIAL;1135;Abril
0018-0422;BT RESIDENCIAL;433;Abril
0018-0423;BT RESIDENCIAL;749;Abril
0018-0427;BT RESIDENCIAL;904;Abril
0018-0430;BT RESIDENCIAL;120;Abril
0018-0431;BT RESIDENCIAL;1563;Abril
0018-0441;BT RESIDENCIAL;1012;Abril
0018-0504;BT RESIDENCIAL;439;Abril
0018-0511;BT RESIDENCIAL;687;Abril
0018-0514;BT RESIDENCIAL;419;Abril
0018-0519;BT RESIDENCIAL;1331;Abril
0018-0530;BT RESIDENCIAL;614;Abril
0018-0531;BT RESIDENCIAL;937;Abril
0018-0532;BT RESIDENCIAL;490;Abril
0018-0561;BT RESIDENCIAL;263;Abril
0018-0562;BT GENERAL;668;Abril
0082-0714;BT RESIDENCIAL;454;Abril
0082-0716;BT RESIDENCIAL;449;Abril
0082-0721;BT RESIDENCIAL;99;Abril
0082-0740;BT RESIDENCIAL;729;Abril
0082-0748;BT RESIDENCIAL;30;Abril
0082-0753;BT RESIDENCIAL;400;Abril
0082-0754;BT RESIDENCIAL;317;Abril
0086-0029;BT RESIDENCIAL;120;Abril
0086-0030;BT RESIDENCIAL;430;Abril
0086-0031;BT RESIDENCIAL;388;Abril
0086-0032;BT RESIDENCIAL;120;Abril
0086-0033;BT RESIDENCIAL;418;Abril
0086-0034;BT RESIDENCIAL;901;Abril
0086-0035;BT RESIDENCIAL;151;Abril
0086-0036;BT RESIDENCIAL;120;Abril
0086-0037;BT RESIDENCIAL;426;Abril
0086-0038;BT RESIDENCIAL;252;Abril
0086-0039;BT RESIDENCIAL;382;Abril
0086-0040;BT RESIDENCIAL;1050;Abril
0086-0041;BT RESIDENCIAL;120;Abril
0086-0043;BT RESIDENCIAL;492;Abril
0086-0044;BT RESIDENCIAL;418;Abril
0086-0046;BT RESIDENCIAL;658;Abril
0086-0047;BT RESIDENCIAL;632;Abril
0086-0048;BT RESIDENCIAL;675;Abril
0086-0050;BT RESIDENCIAL;120;Abril
0086-0051;BT RESIDENCIAL;311;Abril
0086-0053;BT RESIDENCIAL;509;Abril
0086-0055;BT RESIDENCIAL;120;Abril
0086-0056;BT RESIDENCIAL;716;Abril
0086-0058;BT RESIDENCIAL;430;Abril
0086-0059;BT RESIDENCIAL;539;Abril
0086-0061;BT RESIDENCIAL;638;Abril
0086-0062;BT RESIDENCIAL;439;Abril
0086-0064;BT RESIDENCIAL;548;Abril
0086-0065;BT RESIDENCIAL;567;Abril
0086-0067;BT RESIDENCIAL;433;Abril
0086-0466;BT RESIDENCIAL;211;Abril
0086-0469;BT RESIDENCIAL;30;Abril
0086-0499;BT RESIDENCIAL;586;Abril
0086-0501;BT RESIDENCIAL;400;Abril
0087-0045;MT INDUSTRIAL;22731;Abril
0087-0052;BT RESIDENCIAL;716;Abril
0087-0076;BT RESIDENCIAL;928;Abril
0087-0080;BT RESIDENCIAL;1042;Abril
0087-0082;BT RESIDENCIAL;848;Abril
0087-0094;BT RESIDENCIAL;414;Abril
0087-0106;BT RESIDENCIAL;545;Abril
0087-0122;BT RESIDENCIAL;210;Abril
0087-0126;BT RESIDENCIAL;327;Abril
0087-0138;BT RESIDENCIAL;689;Abril
0087-0166;BT RESIDENCIAL;30;Abril
0087-0186;BT RESIDENCIAL;348;Abril
0087-0218;BT RESIDENCIAL;900;Abril
0087-0290;BT RESIDENCIAL;604;Abril
0087-0312;BT RESIDENCIAL;34;Abril
0083-0823;BT RESIDENCIAL;670;Abril
0083-0824;BT RESIDENCIAL;115;Abril
0083-0830;BT SOCIAL;110;Abril
0083-0833;BT RESIDENCIAL;143;Abril
0083-0836;BT RESIDENCIAL;74;Abril
0083-0841;BT RESIDENCIAL;117;Abril
0083-0845;BT GENERAL;60;Abril
0083-0851;BT RESIDENCIAL;30;Abril
0083-0854;BT SOCIAL;159;Abril
0083-0855;MT GENERAL;225;Abril
0083-0859;MT GENERAL;360;Abril
0083-0860;BT GENERAL;98;Abril
0083-0861;BT GENERAL;129;Abril
0083-0903;BT RESIDENCIAL;251;Abril
0083-0910;BT RESIDENCIAL;748;Abril
0083-0913;BT RESIDENCIAL;260;Abril
0083-0916;BT RESIDENCIAL;120;Abril
0083-0917;BT RESIDENCIAL;156;Abril
0083-0923;BT RESIDENCIAL;245;Abril
0083-0924;BT RESIDENCIAL;496;Abril
0083-0941;BT RESIDENCIAL;120;Abril
0083-0942;BT RESIDENCIAL;348;Abril
0083-0948;BT RESIDENCIAL;173;Abril
0083-0949;BT RESIDENCIAL;544;Abril
0083-0957;BT RESIDENCIAL;1182;Abril
0083-0958;BT RESIDENCIAL;261;Abril
0002-0010;BT RESIDENCIAL;120;Abril
0002-0014;MT GENERAL;965;Abril
0900-0255;BT SOCIAL;131;Abril
0002-0015;MT GENERAL;1641;Abril
0002-0016;MT GENERAL;1995;Abril
0002-0020;BT RESIDENCIAL;591;Abril
0002-0030;BT RESIDENCIAL;758;Abril
0900-0264;BT RESIDENCIAL;158;Abril
0002-0045;BT RESIDENCIAL;465;Abril
0900-0266;BT SOCIAL;87;Abril
0002-0050;BT RESIDENCIAL;382;Abril
0002-0060;BT RESIDENCIAL;1656;Abril
0002-0070;MT INDUSTRIAL;4400;Abril
0002-0080;BT RESIDENCIAL;755;Abril
0900-0275;BT SOCIAL;293;Abril
0002-0090;BT RESIDENCIAL;1014;Abril
0900-0277;BT SOCIAL;253;Abril
0002-0100;BT RESIDENCIAL;807;Abril
0002-0110;BT RESIDENCIAL;1678;Abril
0002-0115;BT RESIDENCIAL;590;Abril
0002-0130;MT GENERAL;983;Abril
0002-0140;BT GENERAL;330;Abril
0900-0301;BT SOCIAL;85;Abril
0002-0150;BT RESIDENCIAL;509;Abril
0900-0310;BT SOCIAL;88;Abril
0002-0160;BT RESIDENCIAL;765;Abril
0900-0313;BT SOCIAL;270;Abril
0002-0180;BT RESIDENCIAL;480;Abril
0002-0190;BT RESIDENCIAL;1708;Abril
0002-0200;BT RESIDENCIAL;963;Abril
0002-0210;BT RESIDENCIAL;751;Abril
0201-0184;BT INDUSTRIAL;266;Abril
0201-0186;BT GENERAL;596;Abril
0201-0187;BT GENERAL;1113;Abril
0201-0380;MT INDUSTRIAL;11169;Abril
0201-0390;BT INDUSTRIAL;1090;Abril
0475-0035;BT RESIDENCIAL;1096;Abril
0475-0050;BT RESIDENCIAL;737;Abril
0475-0070;BT SOCIAL;58;Abril
0475-0100;BT SOCIAL;15;Abril
0475-0110;BT RESIDENCIAL;463;Abril
0475-0160;BT RESIDENCIAL;1628;Abril
0476-0040;BT RESIDENCIAL;1357;Abril
0476-0045;BT RESIDENCIAL;789;Abril
0476-0050;BT RESIDENCIAL;1207;Abril
